iter	Logloss
0	0.54801647
1	0.4235839411
2	0.3277817801
3	0.2471443228
4	0.1983679209
5	0.1494351054
6	0.1259199017
7	0.1058005437
8	0.08286451352
9	0.06544220024
10	0.05285228754
11	0.04425235068
12	0.03763720374
13	0.0317492245
14	0.02739319352
15	0.02452413752
16	0.02227406812
17	0.02005312302
18	0.01851800384
19	0.01700571113
20	0.01605180774
21	0.01513905007
22	0.0143993829
23	0.01384684126
24	0.01325409569
25	0.0125097218
26	0.01196986445
27	0.01158827803
28	0.0111011541
29	0.0109272279
30	0.01052011832
31	0.01022058214
32	0.009957436607
33	0.009699300395
34	0.009391764332
35	0.009210130681
36	0.009086301511
37	0.009067236433
38	0.008981840066
39	0.008848721573
40	0.00873786143
41	0.00862201818
42	0.008522502984
43	0.008480709482
44	0.008427693059
45	0.008340538194
46	0.008264504284
47	0.008218169906
48	0.008170405881
49	0.008089699728
50	0.008044667628
51	0.007961786244
52	0.007890016198
53	0.007872784728
54	0.007840700087
55	0.007801362725
56	0.007794159151
57	0.007743607648
58	0.007672533548
59	0.007610529879
60	0.007558052602
61	0.007520620504
62	0.007497907872
63	0.007450361642
64	0.007439094962
65	0.007372371562
66	0.007333762612
67	0.007303093783
68	0.007263282103
69	0.007237936484
70	0.00721433994
71	0.00717260231
72	0.007135699735
73	0.007104588754
